,Country_x,code,GDP,C,E,P,S,X,elev,government_effectiveness,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,political_stability,rule_of_law,Country_y,voice_and_accountability
80,France,FRA,2.85E+12,10.9,10.7,6.1,5.5,1.6,375.12,1.403170347,,,4100,33.4816284,2.5,0.300568491,1.474639177,France,1.218159556
81,French Polynesia,PYF,..,,,,,,,,,,,0.683060109,4.8,,,,
82,Gabon,GAB,18179717776,15.8,17.6,21.4,12.2,5.2,377.5402,-0.644165218,,,,1.261303217,7,0.149542809,-0.508886874,Gabon,-0.865721822
83,"Gambia, The",GMB,833240810.2,15.7,22,23.6,14.6,7.2,34.4685,-0.669894457,,,,43.47826087,10.5,-0.151400715,-0.689125657,"Gambia, The",-1.267748713
84,Georgia,GEO,16509305828,25.1,18,19.9,12.1,7.6,1432.375,0.489187151,233000,,120,6.576485825,6.7,-0.321507543,0.190929726,Georgia,0.284665972
85,Germany,DEU,3.89E+12,8.7,8.9,5.2,6.2,1.6,270.8496,1.731391549,,,,34.02407567,2.5,0.925186455,1.856834173,Germany,1.436330318
86,Ghana,GHA,38616536132,14,20.1,17.6,12.7,6.3,190.3197,-0.280857623,,,,20.65570889,6.8,-0.106807962,0.052244995,Ghana,0.463251561
87,Gibraltar,GIB,..,,,,,,,,,,,..,..,,,,
88,Greece,GRC,2.37E+11,12.8,14.6,13.7,5.4,5.6,498.576,0.398586392,,,8200,17.25368503,2.5,-0.140445963,0.36259988,Greece,0.618757248
89,Greenland,GRL,2551126949,,,,,,1792.64,0.920352161,,,,0.002192715,..,1.924541116,1.738286018,Greenland,1.276822448
90,Grenada,GRD,911481481.5,14.8,19.9,14.1,9,7.4,,-0.108672678,,,,8.823529412,25.4,0.774568856,-0.167484716,Grenada,0.906140924
91,Guam,GUM,5531000000,,,,,,,0.441491038,,,,1.851851852,..,0.750133276,1.410082817,Guam,..
92,Guatemala,GTM,58722323918,20.3,20.8,20.3,13.2,5.7,759.6279,-0.728890419,249000,1400,10000,8.714072415,16.2,-0.655563533,-0.96223402,Guatemala,-0.337599128
93,Guinea,GIN,8791353805,27.2,24.3,27.6,16.3,7.3,472.8062,-1.232363105,,,,12.61598567,16.7,-0.955242753,-1.360495448,Guinea,-0.858070731
94,Guinea-Bissau,GNB,1055186196,24.2,24.8,25.9,16.6,9.1,70.4717,-1.583007336,,,,10.6685633,26.8,-0.706451654,-1.325205922,Guinea-Bissau,-0.850447953
95,Guyana,GUY,3077643314,16.8,22,16,10,6.2,207.0553,-0.232317001,,,,2.133604267,8.9,-0.136097595,-0.616555035,Guyana,0.156029701
96,Haiti,HTI,8776360623,23.6,27.8,25.9,17.2,9.8,470.0736,-2.041475058,,,6500,38.82438316,48.2,-0.643627286,-1.185460091,Haiti,-0.791107893
97,Heavily indebted poor countries (HIPC),HPC,6.48E+11,,,,,,,,,,,8.344702812,24.77777239,,,,
98,High income,HIC,5.04E+13,,,,,,,,,,,10.14932245,2.693879427,,,,
99,Honduras,HND,19756494435,19.5,20.7,19.7,10.9,7.1,684.9241,-0.809989631,29000,,2500,9.116096166,15.8,-0.534083962,-0.944581866,Honduras,-0.409190774
100,"Hong Kong SAR, China",HKG,2.91E+11,,,,,,,1.832902789,,,,2.952380952,2.5,1.153228521,1.86072886,"Hong Kong SAR, China",0.535698533
101,Hungary,HUN,1.40E+11,11.9,13.8,13.3,5.6,3.7,143.5822,0.533443689,,,290,48.6468574,2.5,0.669904828,0.501931071,Hungary,0.553266287
102,IBRD only,IBD,2.74E+13,,,,,,,,,,,11.41800791,9.880051429,,,,
103,Iceland,ISL,17178962757,4.1,8.9,4.5,3.5,4.9,557.4451,1.491399884,,,,1.208977556,2.5,1.246974587,1.708532214,Iceland,1.357325196
104,IDA & IBRD total,IBT,2.95E+13,,,,,,,,,,,11.16515871,12.08469367,,,,
105,IDA blend,IDB,1.05E+12,,,,,,,,,,,14.87086381,14.88838185,,,,
106,IDA only,IDX,1.03E+12,,,,,,,,,,,9.223662893,22.15176304,,,,
107,IDA total,IDA,2.09E+12,,,,,,,,,,,10.49818206,19.53670725,,,,
108,India,IND,2.04E+12,22.5,18.7,17.9,12.8,5,621.8081,-0.205647334,854000,345000,3428000,52.62462204,14.9,-0.99791199,-0.063245445,India,0.413294047
109,Indonesia,IDN,8.91E+11,21.1,18.1,18.7,13.3,5.6,367.1235,-0.037205037,84000,800,943000,12.97217331,7,-0.416824043,-0.342180669,Indonesia,0.1539049
110,"Iran, Islamic Rep.",IRN,4.34E+11,26.5,18.7,22.8,12.1,7.1,1305.438,-0.426920831,,,12000,9.017289226,5.4,-0.874987662,-1.056347728,"Iran, Islamic Rep.",-1.58074379
111,Iraq,IRQ,2.35E+11,29.6,23.1,25.1,16.5,7.9,312.0478,-1.111156821,3276000,2177000,,11.59053233,26.7,-2.480337858,-1.334787846,Iraq,-1.144258142
112,Ireland,IRL,2.58E+11,5,10,5.2,3.9,2,112.422,1.597104549,,,,15.35781681,2.5,1.052991152,1.779152513,Ireland,1.317501187
113,Isle of Man,IMN,7428280402,,,,,,,,,,,38.77192982,..,,,,
114,Israel,ISR,3.08E+11,24.6,14.7,19.3,13.4,7.5,508.4611,1.210811973,,,700,13.88632163,2.5,-1.039735317,1.107662916,Israel,0.727578998
115,Italy,ITA,2.15E+12,14.2,10.7,9.6,7,1.9,538.7296,0.374144018,,,1600,22.87346162,2.5,0.458165407,0.37739116,Italy,0.999262631
116,Jamaica,JAM,13897723431,13.7,20.1,16.3,8.8,6,18.125,0.137448892,,,,11.08033241,9.2,0.024492532,-0.282042772,Jamaica,0.562572896
117,Japan,JPN,4.85E+12,8.6,8,7.7,8.1,3.9,438.3172,1.812485337,,,707000,11.58382708,2.5,0.968597353,1.601541996,Japan,1.036089063
118,Jordan,JOR,35826925775,19.8,16.7,18.7,15,6.5,812.3271,0.116841048,,,,2.675152061,4.2,-0.540025532,0.464213163,Jordan,-0.753645599
119,Kazakhstan,KAZ,2.21E+11,20.1,14.8,19.7,8.9,5,387.1949,-0.042686917,,,,10.88824684,2.5,0.036018156,-0.598051727,Kazakhstan,-1.183920979
120,Kenya,KEN,61445345999,26.8,23.7,23.4,16.9,8.2,762.8491,-0.333343953,309000,220000,1400,10.19081421,19.4,-1.282247186,-0.4168576,Kenya,-0.145232216
121,Kiribati,KIR,178869341.2,,,,,,,-0.560693443,,,,2.469135802,3.2,0.801865816,-0.12437252,Kiribati,0.939704716
122,"Korea, Dem. People‰Ûªs Rep.",PRK,..,23.3,21.4,28.7,12.2,8.4,599.3386,-1.640783787,,,,19.51665144,41,-1.134743333,-1.624641538,"Korea, Dem. People‰Ûªs Rep.",-2.193335295
123,"Korea, Rep.",KOR,1.41E+12,9.1,9.1,7.8,4.7,5.7,282.3633,1.164745569,,,,15.1415675,2.5,0.108568802,0.993528128,"Korea, Rep.",0.680225968
124,Kosovo,XKX,7386891336,,,,,,,-0.31521982,17000,,,..,..,-0.340774536,-0.472362667,Kosovo,-0.201312855
125,Kuwait,KWT,1.63E+11,17.1,11.7,17,9.1,4.1,108.2327,-0.148398995,,,,0.533108866,2.5,0.149006546,0.022490578,Kuwait,-0.657459795
126,Kyrgyz Republic,KGZ,7468096567,23.3,20.1,21.4,11.5,7.6,2988.048,-0.865409195,,,,6.676746611,6.7,-0.804615676,-0.926912189,Kyrgyz Republic,-0.462497383
127,Lao PDR,LAO,13268458232,20.6,19.5,24,13.3,6.9,710.2068,-0.415311486,,,790,6.60745234,17,0.498692989,-0.751358986,Lao PDR,-1.733219862
128,Late-demographic dividend,LTE,1.97E+13,,,,,,,,,,,9.392073325,8.4629234,,,,
129,Latin America & Caribbean,LCN,6.39E+12,,,,,,,,,,,8.760989163,6.506595391,,,,
130,Latin America & Caribbean (excluding high income),LAC,5.91E+12,,,,,,,,,,,8.994844257,6.606093848,,,,
131,Latin America & the Caribbean (IDA & IBRD countries),TLA,6.17E+12,,,,,,,,,,,8.656722691,6.580521954,,,,
132,Latvia,LVA,31419072948,13.4,13,11.2,6.9,3.5,95.893,0.958550274,,,,19.44355098,2.5,0.487268358,0.872382939,Latvia,0.849434912
133,Least developed countries: UN classification,LDC,9.38E+11,,,,,,,,,,,8.724345005,22.75697025,,,,
134,Lebanon,LBN,47833413749,26.8,17.3,19.8,14.6,8.4,1249.193,-0.37551415,20000,,1300,12.90322581,5.3,-1.697941303,-0.766248524,Lebanon,-0.420307428
