"","X.1","Country","code","GDP","C","E","P","S","X","elev","government_effectiveness","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"116",230,"Sudan","SDN",151588419,29.5,25,27.7,18.3,9.6,568.4538,0.532044411,3100000,558000,187000,343080808,0.7,-2.363084555,0.167488456,0.736627936,110.1,"-1.445422649"
"117",231,"Suriname","SUR",40606061,17.6,21.4,16.5,8.9,6.2,246.0742,0.175923645,675950.357142857,375420.689655172,193045.151515152,416666667,1,0.249270841,0.137176558,516894996,70.6,"-0.443283439"
"118",232,"Swaziland","SWZ",77293816,16.3,23.3,24.5,13.9,7.8,305.4435,0.562953532,675950.357142857,375420.689655172,193045.151515152,0.1744186,0.5,-0.500559747,0.314296454,0.333801031,85.8,"-0.428299814"
"119",233,"Sweden","SWE",7.4e+12,5.2,5.6,3.9,5.4,1.3,320.0909,803889275,675950.357142857,375420.689655172,1000,353882792,5,1.065414786,992006302,61108911,21.4,"2.153375149"
"120",234,"Switzerland","CHE",9e+11,6.2,7,4.3,4.2,1.6,1369.6,112257957,675950.357142857,375420.689655172,193045.151515152,0.12754327,5,1.402652621,994928122,559489489,23.3,"2.151518822"
"121",236,"Tajikistan","TJK",36309138,22.5,19.7,23.1,12.6,6.7,3185.92,0.782609403,675950.357142857,375420.689655172,460,259896531,0.5,-0.693340778,0.011011243,0.495485544,84.6,"-1.127138019"
"122",237,"Tanzania","TZA",197218327,16.8,20.1,21,15.3,7.6,1018.109,0.655045569,675950.357142857,375420.689655172,14000,0.2404606,0.6,-0.597118556,0.395124078,0.192261621,80.8,"-0.754457295"
"123",238,"Thailand","THA",7e+11,25.4,13.5,19.4,14.1,4.6,287.408,337951154,35000,375420.689655172,27000,0.90336472,5,-0.906386316,0.19136773,0.874782622,77,"-0.450273722"
"124",240,"Togo","TGO",82880424,19.5,22,24.2,15.3,6.8,236.986,0.249514103,10000,375420.689655172,193045.151515152,0.72219158,0.3,-0.167126864,0.85721612,0.766488612,87.8,"-0.893284917"
"125",242,"Trinidad and Tobago","TTO",175952942,15.4,18.2,15.3,8.5,3.9,83.275,272078156,675950.357142857,375420.689655172,193045.151515152,873294347,8,0.247864336,0.09080527,473085731,61.3,"-0.413552701"
"126",243,"Tunisia","TUN",587913059,23.2,17.3,21.3,9.1,6.6,246.5449,0.119645528,675950.357142857,375420.689655172,193045.151515152,0.66632338,5,-0.851661503,0.10967727,192784011,77.5,"-0.036884744"
"127",244,"Turkey","TUR",3.4e+12,23.7,15.5,17.1,12.5,5.3,1167.001,365242243,954000,375420.689655172,480,0.90383691,5,-1.086035967,512341,0.338419706,74.1,"-0.147938445"
"128",245,"Turkmenistan","TKM",524210526,21.5,17.1,24.5,10.2,4.9,229.8245,0.842202842,4000,375420.689655172,193045.151515152,128274424,5,0.074206032,0.364572048,0.259158611,78.2,"-1.314361334"
"129",248,"Uganda","UGA",295207928,25.1,21.8,23.7,17.4,8,1200.948,0.501476347,30000,375420.689655172,50000,0.41053262,0.4,-0.941126168,0.38838008,0.584996819,96,"-1.085041404"
"130",249,"Ukraine","UKR",3.4e+12,19.1,15.9,18,7.9,6.3,176.7859,0.413418591,647000,647000,193045.151515152,0.15667455,5,-2.020833492,0.790971577,0.142231718,67.2,"-0.994197667"
