,Country,score,C,E,P,S,X,code,elev,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,control_of_corruption,government_effectiveness,political_stability,rule_of_law,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,voice_and_accountability
88,Lebanon,6.4,26.7,17,20.4,14.8,9.2,LBN,1249.193,12000,3000,110,12.90322581,12.90322581,-0.883750379,-0.474226981,-1.702586532,-0.825654566,7.5,8.13,10.39,14,17.42,20.87,22.97,23.35,21.84,18.4,13.5,8.99,15.61,-0.462531269
89,Lesotho,23.5,17.3,23,19.2,12.6,7.8,LSO,2160.854,,,,8.969038208,8.969038208,0.06802655,-0.684340656,-0.308428764,-0.174012661,17.51,16.51,15.13,11.43,8.27,5.49,5.93,7.88,11.64,13.11,14.58,16.2,11.97,0.117346577
90,Liberia,30.8,21.4,23.5,23.7,18.7,10,LBR,243.6676,,,,5.1910299,5.1910299,-0.647266626,-1.393890619,-0.818025708,-0.864492297,25.26,25.87,26.44,26.38,25.81,25.1,24.14,23.9,24.54,25.13,25.45,25.01,25.25,-0.221026897
91,Libya,,26.2,20.5,26.3,12.8,9.5,LBY,423.6434,500000,100000,,0.977528218,0.977528218,-1.616902709,-1.653165221,-2.196628332,-1.629270196,12.38,14.64,17.76,22.1,26.5,29.23,29.4,29.12,27.32,23.09,17.75,13.51,21.9,-1.341562867
92,Lithuania,5,10.3,14.2,9.6,5.9,3,LTU,110.2539,,,,34.68856751,34.68856751,0.617650509,1.185165882,0.759793997,1.008058906,-5.47,-4.63,-0.47,5.95,12.18,15.59,16.89,16.43,12.14,7.22,1.83,-2.73,6.24,0.973841727
93,Madagascar,36.3,19.3,22.2,22.4,12.4,7.3,MDG,615.2372,,,87000,6.015812994,6.015812994,-0.848951161,-1.29816854,-0.427362889,-0.686933994,24.29,24.32,23.99,23.1,21.17,19.35,18.89,19.3,20.53,22.1,23.19,23.93,22.01,-0.378629118
94,Malawi,27.3,17.9,25.1,20.9,14.9,8.1,MWI,779.0389,,,343000,40.30547306,40.30547306,-0.762178659,-0.673160613,0.031896148,-0.306816041,23.49,23.37,23.25,22.31,20.31,18.42,18.05,19.5,22.01,24.28,24.78,23.98,21.98,-0.005267241
95,Malaysia,10.3,19.5,13.4,18.8,10,4.2,MYS,419.6467,,,21000,2.90366763,2.90366763,0.235073954,0.949163854,0.258957565,0.501932204,24.61,24.73,25.19,25.61,25.74,25.49,25.21,25.19,25.11,25.1,24.89,24.79,25.14,-0.391462833
96,Mali,29.6,21.2,24,21.7,16.9,9.3,MLI,343.7438,50000,,400,5.254099771,5.254099771,-0.68613261,-0.932024181,-1.685663939,-0.734754443,21.25,24.17,27.34,30.53,33.06,33.38,31.81,30.62,30.58,29.55,25.64,21.65,28.3,-0.204381034
97,Mauritania,22.6,23.1,21.4,24.8,17.1,8.5,MRT,276.0194,,,,0.436596488,0.436596488,-0.923295498,-1.026878119,-0.63780123,-0.866077304,20.3,22.66,25.29,27.95,31.3,33.21,33.3,32.28,31.2,29.38,24.96,20.49,27.69,-0.887845755
98,Mauritius,12.9,9.8,13.2,10.7,6.3,5.2,MUS,,,,1400,36.45320197,36.45320197,0.300832063,1.049440861,0.998615384,0.854365528,25.5,25.6,25.48,24.62,22.89,21.34,20.65,20.38,20.9,22,23.43,24.74,23.13,0.822020531
99,Mexico,7.3,19.5,17,19.2,10.6,5.5,MEX,1110.936,287000,6000,91000,11.78687723,11.78687723,-0.765919805,0.209704727,-0.798699081,-0.44708994,14.8,16.2,18.44,21.28,23.46,24.96,24.9,24.7,23.58,21.07,17.79,15.36,20.54,-0.075364098
100,Mongolia,14.7,13.8,13.8,15,7.9,6.5,MNG,1527.99,,,810,0.365096939,0.365096939,-0.491614044,-0.418690056,0.716384351,-0.379790068,-20.56,-17.8,-8.8,1.69,9.8,15.16,17.2,15.47,9.23,0.77,-10.23,-17.93,-0.5,0.270232141
101,Montenegro,5,17.6,11.1,11.8,7.8,5.9,MNE,,,,,0.646840149,0.646840149,-0.131804168,0.155747339,0.140797719,0.051777143,-2.1,-0.75,2.53,6.87,11.6,14.97,17.55,17.54,13.96,8.87,3.89,-0.06,7.91,0.144006342
102,Morocco,9.5,19.4,19.2,19.2,10.8,6,MAR,909.5137,,,,18.21644634,18.21644634,-0.220332846,-0.061943848,-0.341487437,-0.088940836,9.68,11.17,13.09,15.1,18.61,22.22,26.01,25.86,22.71,18.22,13.74,10.29,17.23,-0.628278553
103,Mozambique,32.5,19.8,23.8,22.3,13.7,7.3,MOZ,345.2476,,,61000,7.184821588,7.184821588,-0.748843312,-0.746266305,-0.513895094,-0.848796844,26.03,25.89,25.48,24.15,22.04,20,19.63,20.99,23.13,24.98,25.93,26.03,23.69,-0.270031184
104,Myanmar,23.5,26.3,20.4,25.9,15.1,7,MMR,702.4269,644000,16000,1618000,16.65798983,16.65798983,-0.836168349,-1.238607645,-1.165066719,-1.236542463,18,19.74,22.74,25.39,25.75,25.18,24.91,24.82,24.89,24.01,21.43,18.62,22.96,-1.218918324
105,Namibia,31.8,14.3,21.7,15.4,12.5,6.9,NAM,1141.045,,,8,0.971711062,0.971711062,0.315799117,0.253775209,0.733112812,0.190016076,24.26,23.61,22.67,20.33,17.16,14.44,14.14,16.06,19.24,21.58,23.01,23.96,20.04,0.571722925
106,Nepal,22.2,24.4,21.3,21.9,15.5,7.4,NPL,2565.382,50000,,2623000,14.74502965,14.74502965,-0.578034759,-1.053640604,-0.998334587,-0.676831722,4.16,5.63,10.02,14.25,16.82,18.83,18.81,18.59,17.35,13.73,9.16,5.57,12.74,-0.415425479
107,Nicaragua,13.6,18.9,22.2,19.8,10.8,7.3,NIC,298.3099,,,1100,12.49792255,12.49792255,-0.888269782,-0.815875173,-0.086607538,-0.73610878,23.3,23.97,24.95,25.72,25.81,25.07,24.93,24.77,24.72,24.54,23.79,23.51,24.59,-0.414739907
108,Niger,34.5,25.1,23.5,23.6,17.5,8.1,NER,474.3347,153000,47000,38000,13.26280887,13.26280887,-0.641647696,-0.605987728,-1.066546202,-0.579464018,19.05,21.91,26.01,30.29,32.73,32.79,31.24,30.32,30.35,28.47,23.66,20.04,27.24,-0.212657124
109,Nigeria,32.8,29.6,23.5,27,16.3,6,NGA,380.1505,2096000,737000,100000,37.33104955,37.33104955,-1.083716273,-0.96267271,-1.925442815,-0.961073756,24.6,27.01,29.13,29.89,28.94,27.31,25.85,25.38,25.93,26.78,25.92,24.67,26.78,-0.366597325
110,Oman,,14.3,10.6,17.9,7,2.2,OMN,310.0209,,,,0.122778675,0.122778675,0.268915087,0.081546336,0.783339798,0.376893491,19.92,20.78,23.4,26.72,29.47,30.05,28.69,27.61,27.45,26.25,23.83,21.29,25.45,-1.061398745
111,Pakistan,33.9,28.8,22,24.9,17.9,9.3,PAK,1018.028,1459000,,1002000,39.48733914,39.48733914,-0.810739458,-0.667473018,-2.482707977,-0.766665697,8.67,10.67,16.01,21.59,25.85,28.98,28.66,27.62,25.28,20.86,15.25,10.33,19.98,-0.722032487
112,Panama,9.6,13.2,14.7,14.3,9.2,3.2,PAN,359.6746,,,100,7.573311811,7.573311811,-0.370722234,0.292337388,0.386077255,-0.106349006,24.18,24.53,25.44,25.7,25.56,24.85,25.12,24.71,24.34,24.3,23.96,23.99,24.72,0.558467448
