"Japan	JPN	Arable land (% of land area)	AG.LND.ARBL.ZS	11.52348036"
"Kazakhstan	KAZ	Arable land (% of land area)	AG.LND.ARBL.ZS	10.88824684"
"Kenya	KEN	Arable land (% of land area)	AG.LND.ARBL.ZS	10.19081421"
"Kyrgyz Republic	KGZ	Arable land (% of land area)	AG.LND.ARBL.ZS	6.676746611"
"Cambodia	KHM	Arable land (% of land area)	AG.LND.ARBL.ZS	21.52730569"
"Kiribati	KIR	Arable land (% of land area)	AG.LND.ARBL.ZS	2.469135802"
"St. Kitts and Nevis	KNA	Arable land (% of land area)	AG.LND.ARBL.ZS	19.23076923"
"Korea, Rep.	KOR	Arable land (% of land area)	AG.LND.ARBL.ZS	15.02359458"
"Kuwait	KWT	Arable land (% of land area)	AG.LND.ARBL.ZS	0.432098765"
"Latin America & Caribbean (excluding high income)	LAC	Arable land (% of land area)	AG.LND.ARBL.ZS	8.987287144"
"Lao PDR	LAO	Arable land (% of land area)	AG.LND.ARBL.ZS	6.60745234"
"Lebanon	LBN	Arable land (% of land area)	AG.LND.ARBL.ZS	12.90322581"
"Liberia	LBR	Arable land (% of land area)	AG.LND.ARBL.ZS	5.1910299"
"Libya	LBY	Arable land (% of land area)	AG.LND.ARBL.ZS	0.977528218"
"St. Lucia	LCA	Arable land (% of land area)	AG.LND.ARBL.ZS	4.918032787"
"Latin America & Caribbean	LCN	Arable land (% of land area)	AG.LND.ARBL.ZS	8.754976338"
"Least developed countries: UN classification	LDC	Arable land (% of land area)	AG.LND.ARBL.ZS	8.733353004"
"Low income	LIC	Arable land (% of land area)	AG.LND.ARBL.ZS	9.524532587"
"Liechtenstein	LIE	Arable land (% of land area)	AG.LND.ARBL.ZS	13.5"
"Sri Lanka	LKA	Arable land (% of land area)	AG.LND.ARBL.ZS	20.73034604"
"Lower middle income	LMC	Arable land (% of land area)	AG.LND.ARBL.ZS	17.43622809"
"Low & middle income	LMY	Arable land (% of land area)	AG.LND.ARBL.ZS	11.3357893"
"Lesotho	LSO	Arable land (% of land area)	AG.LND.ARBL.ZS	8.969038208"
"Late-demographic dividend	LTE	Arable land (% of land area)	AG.LND.ARBL.ZS	9.702451789"
"Lithuania	LTU	Arable land (% of land area)	AG.LND.ARBL.ZS	34.68856751"
"Luxembourg	LUX	Arable land (% of land area)	AG.LND.ARBL.ZS	24.24710425"
"Latvia	LVA	Arable land (% of land area)	AG.LND.ARBL.ZS	19.77806369"
"Macao SAR, China	MAC	Arable land (% of land area)	AG.LND.ARBL.ZS	"
"St. Martin (French part)	MAF	Arable land (% of land area)	AG.LND.ARBL.ZS	"
"Morocco	MAR	Arable land (% of land area)	AG.LND.ARBL.ZS	18.21644634"
"Monaco	MCO	Arable land (% of land area)	AG.LND.ARBL.ZS	"
"Moldova	MDA	Arable land (% of land area)	AG.LND.ARBL.ZS	55.45786431"
"Madagascar	MDG	Arable land (% of land area)	AG.LND.ARBL.ZS	6.015812994"
"Maldives	MDV	Arable land (% of land area)	AG.LND.ARBL.ZS	13"
"Middle East & North Africa	MEA	Arable land (% of land area)	AG.LND.ARBL.ZS	4.723223472"
"Mexico	MEX	Arable land (% of land area)	AG.LND.ARBL.ZS	11.78687723"
"Marshall Islands	MHL	Arable land (% of land area)	AG.LND.ARBL.ZS	11.11111111"
