"","X.1","Country","code","C","E","P","S","X","GDP","elev","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","government_effectiveness","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"86",86,"Macedonia, FYR","MKD",19.4,16.8,13.8,8.6,5.9,51659161,741.545,200,321074.642857143,171096.669642857,0.45519429,16.45519429,118493073,-0.287016064,0.188808754,0.181900084,64.5,"-0.022042822"
"87",87,"Madagascar","MDG",19.3,22.2,22.4,12.4,7.3,44243420,615.2372,792917.647058823,321074.642857143,87000,15812994,6.015812994,0.29816854,-0.427362889,0.686933994,0.378629118,83.6,"-0.840408504"
"88",88,"Malawi","MWI",17.9,25.1,20.9,14.9,8.1,73201160,779.0389,792917.647058823,321074.642857143,343000,0.30547306,40.30547306,0.673160613,0.031896148,0.306816041,0.005267241,86.9,"-0.751134217"
"89",89,"Malaysia","MYS",19.5,13.4,18.8,10,4.2,9.6e+12,419.6467,792917.647058823,321074.642857143,21000,90366763,2.90366763,949163854,0.258957565,501932204,0.391462833,65.9,"0.41115877"
"90",90,"Mali","MLI",21.2,24,21.7,16.9,9.3,100058100,343.7438,50000,321074.642857143,400,254099771,5.254099771,0.932024181,-1.685663939,0.734754443,0.204381034,93.1,"-0.745391548"
"91",91,"Mauritania","MRT",23.1,21.4,24.8,17.1,8.5,44223107,276.0194,792917.647058823,321074.642857143,171096.669642857,436596488,0.436596488,0.026878119,-0.63780123,0.866077304,0.887845755,94.9,"-0.927549541"
"92",92,"Mexico","MEX",19.5,17,19.2,10.6,5.5,1.5e+13,1110.936,287000,6000,91000,0.78687723,11.78687723,209704727,-0.798699081,0.44708994,0.075364098,71.8,"-0.761708796"
"93",93,"Moldova","MDA",20.9,18,17.1,9.7,7.3,12899540,139.3979,792917.647058823,321074.642857143,171096.669642857,0.45786431,55.45786431,0.654655099,-0.327440172,0.353444636,28581616,73,"-0.850617647"
"94",94,"Mongolia","MNG",13.8,13.8,15,7.9,6.5,749620620,1527.99,792917.647058823,321074.642857143,810,365096939,0.365096939,0.418690056,0.716384351,0.379790068,270232141,57,"-0.473792255"
"95",95,"Morocco","MAR",19.4,19.2,19.2,10.8,6,1e+11,909.5137,792917.647058823,321074.642857143,171096.669642857,0.21644634,18.21644634,0.061943848,-0.341487437,0.088940836,0.628278553,74.6,"-0.265681654"
"96",96,"Mozambique","MOZ",19.8,23.8,22.3,13.7,7.3,798439527,345.2476,792917.647058823,321074.642857143,61000,184821588,7.184821588,0.746266305,-0.513895094,0.848796844,0.270031184,86.9,"-0.672268331"
"97",97,"Myanmar","MMR",26.3,20.4,25.9,15.1,7,687373958,702.4269,644000,16000,1618000,0.65798983,16.65798983,0.238607645,-1.165066719,0.236542463,0.218918324,94.7,"-0.882173955"
"98",98,"Namibia","NAM",14.3,21.7,15.4,12.5,6.9,571141027,1141.045,792917.647058823,321074.642857143,8,971711062,0.971711062,253775209,0.733112812,190016076,571722925,70.8,"0.288529754"
"99",99,"Nepal","NPL",24.4,21.3,21.9,15.5,7.4,410840909,2565.382,50000,321074.642857143,2623000,0.74502965,14.74502965,0.053640604,-0.998334587,0.676831722,0.415425479,90.5,"-0.588242352"
"100",100,"Netherlands","NLD",8.3,8.7,3.5,5.1,1.2,5.8e+12,30.1257,792917.647058823,321074.642857143,171096.669642857,0.66191748,30.66191748,832803488,0.926119328,944209576,561038971,26.8,"1.990493894"
"101",101,"New Zealand","NZL",6.3,8.8,3.4,3,1.1,7.6e+12,388.3524,792917.647058823,321074.642857143,440,240704873,2.240704873,884677529,1.525453329,1410484,554741502,22.6,"2.253288746"
"102",102,"Nicaragua","NIC",18.9,22.2,19.8,10.8,7.3,747741540,298.3099,792917.647058823,321074.642857143,1100,0.49792255,12.49792255,0.815875173,-0.086607538,0.73610878,0.414739907,79,"-0.885312438"
"103",103,"Niger","NER",25.1,23.5,23.6,17.5,8.1,17666361,474.3347,153000,47000,38000,0.26280887,13.26280887,0.605987728,-1.066546202,0.579464018,0.212657124,97.8,"-0.686854482"
"104",104,"Nigeria","NGA",29.6,23.5,27,16.3,6,8.1e+12,380.1505,2096000,737000,1e+05,0.33104955,37.33104955,0.96267271,-1.925442815,0.961073756,0.366597325,102.4,"-1.274704933"
"105",105,"Norway","NOR",7.3,5.3,3.1,3.9,1.2,8.7e+12,566.7679,792917.647058823,321074.642857143,220,205642788,2.205642788,864799142,1.161716104,11164904,68780148,20.8,"2.226565599"
